TIMELINE DỰ ÁN,,,,
17,,Thực hiện lập trình cho tắt/mở giao diện hướng dẫn (Giao diện Guide,Chưa hoàn thành,
18,,Thực hiện lập trình cho tắt/mở giao diện chính của trò chơi (Giao diện Play),Chưa hoàn thành,
19,"Buổi 6
Nhân vật chính",Lập trình ẩn/hiện nhân vật chính dựa trên thứ tự giao diện ,Chưa hoàn thành, 
20,,Lập trình điều khiển nhân vật theo các phím điều hướng,Chưa hoàn thành,
21,,Lập trình tạo hiệu ứng vẫy đuôi cho nhân vật chính,Chưa hoàn thành,
22,,Lập trình giới hạn di chuyển của nhân vật chính khi di chuyển sang 2 cạnh,Chưa hoàn thành,
23,,Lập trình tạo hiệu ứng bất tử cho nhân vật chính.,Chưa hoàn thành,
24,,Cập nhật Timeline với việc bổ sung tính năng Text to Speech,Chưa hoàn thành,
25,"Buổi 7
Chướng ngại vật",Lập trình ẩn/hiện chướng ngại vật dựa trên thứ tự giao diện,Chưa hoàn thành, 
26,,Lập trình xác định vị trí xuất hiện ngẫu nhiên trên 3 dòng,Chưa hoàn thành,
27,,Lập trình xác định với nhân vật chính và kết thúc đường di chuyển.,Chưa hoàn thành,
28,,Lập trình tạo hiệu ứng ẩn nhân vật,Chưa hoàn thành,
29,,Cập nhật Timeline với việc bổ sung hiệu ứng phá huỷ,Chưa hoàn thành,
30,"Buổi 8
Ngôi sao",Lập trình ẩn/hiện ngôi sao dựa trên thứ tự giao diện,Chưa hoàn thành, 
31,,Lập trình xác định vị trí xuất hiện ngẫu nhiên trên 3 dòng,Chưa hoàn thành,
32,,Lập trình xác định với nhân vật chính và kết thúc đường di chuyển.,Chưa hoàn thành,
33,,Lập trình tạo hiệu ứng ẩn nhân vật,Chưa hoàn thành,
34,,Cập nhật Timeline với việc bổ sung hiệu ứng bắt đầu - kết thúc dự án,Chưa hoàn thành,
35,"Buổi 10
Xử lý phông nền",Lập trình ẩn/hiện nhân vânt phông nền dựa trên thứ tự giao diện,Chưa hoàn thành, 
36,,Lập trình cho phông nền di chuyển từ cạnh trên xuống cạnh dưới của màn hình,Chưa hoàn thành,
37,,Thực hiện tạo bản sao tạo hiệu ứng phông nền nối tiếp,Chưa hoàn thành,
38,,Thực hành lập trình xử lý lớp hiển thị cho nhân vật phông nền,Chưa hoàn thành,
39,,"Thực hành xử lý tốc độ di chuyển của nhân vật phông nền thông qua biến ""speed""",Chưa hoàn thành,
40,"Buổi 11
Xử lý biến",Lập trình tăng giá trị của biến Score khi chướng ngại vật di chuyển hết hành trình,Chưa hoàn thành, 
41,,Lập trình hiển thị giá trị của biến Score thông qua nhân vật,Chưa hoàn thành,
42,,Lập trình tăng giá trị của biến HP khi nhân vật chính va chạm với ngôi sao,Chưa hoàn thành,
43,,Lập trình giảm giá trị của biến HP khi nhân vật chính va chạm với chướng ngại vật,Chưa hoàn thành,
44,,Lập trình hiển thị gái trị của biến HP thông qua nhân vật,Chưa hoàn thành,
45,,Lập trình giới hạn biến HP với mức tối đa là 4,Chưa hoàn thành,
46,"Buổi 12
Giao diện kết thúc",Lập trình nhận sự kiện kết thúc trò chơi,Chưa hoàn thành, 
47,,Lập trình ghi nhận tên của người chơi khi kết thúc trò chơi,Chưa hoàn thành,
48,,Lập trình thêm tên và điểm vào danh sách điểm số,Chưa hoàn thành,
49,,Lập trình hiển thị trở lại giao diện Menu để tiếp tục bắt đầu trò chơi,Chưa hoàn thành,
50,"Buổi 13
Bài trình chiếu",Thực hiện xây dựng bài trình chiếu,Chưa hoàn thành, 
51,,Thực hiện thuyết trình thử,Chưa hoàn thành,
52,,Hoàn thiện và đóng gói dự án,Chưa hoàn thành,
